Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:07:06,2,1,-46,0.81
2025-06-12 11:07:07,2,1,-46,0.80
2025-06-12 11:07:08,2,1,-45,0.75
2025-06-12 11:07:09,2,1,-44,0.69
2025-06-12 11:07:10,2,1,-43,0.61
2025-06-12 11:07:06,2,2,-62,6.52
2025-06-12 11:07:07,2,2,-60,6.15
2025-06-12 11:07:08,2,2,-62,6.12
2025-06-12 11:07:09,2,2,-63,6.22
2025-06-12 11:07:10,2,2,-60,5.91
2025-06-12 11:07:06,2,3,-57,3.95
2025-06-12 11:07:07,2,3,-58,3.87
2025-06-12 11:07:08,2,3,-58,3.81
2025-06-12 11:07:09,2,3,-59,3.86
2025-06-12 11:07:10,2,3,-59,3.90
2025-06-12 11:07:06,2,4,-73,28.62
2025-06-12 11:07:07,2,4,-72,27.96
2025-06-12 11:07:08,2,4,-73,27.68
2025-06-12 11:07:09,2,4,-72,27.12
2025-06-12 11:07:10,2,4,-70,25.93
2025-06-12 11:07:06,2,5,-60,5.81
2025-06-12 11:07:07,2,5,-60,5.59
2025-06-12 11:07:08,2,5,-64,5.84
2025-06-12 11:07:09,2,5,-64,6.08
2025-06-12 11:07:10,2,5,-62,6.06
2025-06-12 11:07:06,2,6,-66,10.22
2025-06-12 11:07:07,2,6,-68,10.50
2025-06-12 11:07:08,2,6,-69,10.88
2025-06-12 11:07:09,2,6,-67,10.94
2025-06-12 11:07:10,2,6,-66,10.81
2025-06-12 11:07:06,2,7,-82,52.45
2025-06-12 11:07:07,2,7,-78,52.03
2025-06-12 11:07:08,2,7,-77,51.16
2025-06-12 11:07:09,2,7,-77,50.37
2025-06-12 11:07:10,2,7,-79,50.51
2025-06-12 11:07:06,2,8,-74,40.36
2025-06-12 11:07:07,2,8,-75,39.66
2025-06-12 11:07:08,2,8,-75,39.03
2025-06-12 11:07:09,2,8,-77,39.14
2025-06-12 11:07:10,2,8,-79,39.79
Summary,2,1,-43,-44
Summary,2,2,-60,-61
Summary,2,3,-57,-58
Summary,2,4,-70,-72
Summary,2,5,-60,-62
Summary,2,6,-66,-67
Summary,2,7,-77,-78
Summary,2,8,-74,-76
