Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:05:26,2,1,-36,0.22
2025-06-12 11:05:27,2,1,-37,0.23
2025-06-12 11:05:28,2,1,-36,0.22
2025-06-12 11:05:29,2,1,-36,0.22
2025-06-12 11:05:30,2,1,-35,0.20
2025-06-12 11:05:31,2,1,-35,0.19
2025-06-12 11:05:26,2,2,-60,4.12
2025-06-12 11:05:27,2,2,-59,4.11
2025-06-12 11:05:28,2,2,-59,4.11
2025-06-12 11:05:29,2,2,-58,4.00
2025-06-12 11:05:30,2,2,-57,3.81
2025-06-12 11:05:31,2,2,-56,3.56
2025-06-12 11:05:26,2,3,-58,3.05
2025-06-12 11:05:27,2,3,-59,3.23
2025-06-12 11:05:28,2,3,-56,3.12
2025-06-12 11:05:29,2,3,-56,3.04
2025-06-12 11:05:30,2,3,-58,3.15
2025-06-12 11:05:31,2,3,-58,3.23
2025-06-12 11:05:26,2,4,-70,25.98
2025-06-12 11:05:27,2,4,-70,24.88
2025-06-12 11:05:28,2,4,-78,25.83
2025-06-12 11:05:29,2,4,-74,25.98
2025-06-12 11:05:30,2,4,-74,26.12
2025-06-12 11:05:31,2,4,-69,24.60
2025-06-12 11:05:26,2,5,-68,6.43
2025-06-12 11:05:27,2,5,-65,6.73
2025-06-12 11:05:28,2,5,-61,6.44
2025-06-12 11:05:29,2,5,-60,6.07
2025-06-12 11:05:30,2,5,-67,6.55
2025-06-12 11:05:31,2,5,-72,7.35
2025-06-12 11:05:26,2,6,-70,11.17
2025-06-12 11:05:27,2,6,-70,11.73
2025-06-12 11:05:28,2,6,-72,12.52
2025-06-12 11:05:29,2,6,-73,13.38
2025-06-12 11:05:30,2,6,-74,14.32
2025-06-12 11:05:31,2,6,-72,14.93
2025-06-12 11:05:27,2,7,-81,31.57
2025-06-12 11:05:28,2,7,-82,33.05
2025-06-12 11:05:29,2,7,-83,34.67
2025-06-12 11:05:30,2,7,-86,36.65
2025-06-12 11:05:31,2,7,-78,37.22
2025-06-12 11:05:26,2,8,-76,31.99
2025-06-12 11:05:27,2,8,-76,32.25
2025-06-12 11:05:28,2,8,-77,32.74
2025-06-12 11:05:29,2,8,-77,33.21
2025-06-12 11:05:30,2,8,-78,33.90
2025-06-12 11:05:31,2,8,-81,35.16
Summary,2,1,-35,-35
Summary,2,2,-56,-58
Summary,2,3,-56,-57
Summary,2,4,-69,-72
Summary,2,5,-60,-65
Summary,2,6,-70,-71
Summary,2,7,-78,-82
Summary,2,8,-76,-77
