Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:10:35,2,1,-44,0.63
2025-06-12 11:10:36,2,1,-44,0.62
2025-06-12 11:10:37,2,1,-43,0.58
2025-06-12 11:10:38,2,1,-43,0.56
2025-06-12 11:10:39,2,1,-46,0.63
2025-06-12 11:10:40,2,1,-48,0.74
2025-06-12 11:10:35,2,2,-57,1.95
2025-06-12 11:10:36,2,2,-57,2.18
2025-06-12 11:10:37,2,2,-57,2.37
2025-06-12 11:10:38,2,2,-54,2.31
2025-06-12 11:10:39,2,2,-53,2.19
2025-06-12 11:10:40,2,2,-52,2.04
2025-06-12 11:10:35,2,3,-55,2.96
2025-06-12 11:10:36,2,3,-53,2.64
2025-06-12 11:10:37,2,3,-53,2.43
2025-06-12 11:10:38,2,3,-53,2.29
2025-06-12 11:10:39,2,3,-54,2.25
2025-06-12 11:10:40,2,3,-52,2.08
2025-06-12 11:10:35,2,4,-69,16.57
2025-06-12 11:10:36,2,4,-70,16.58
2025-06-12 11:10:37,2,4,-74,17.27
2025-06-12 11:10:38,2,4,-74,17.93
2025-06-12 11:10:39,2,4,-76,18.85
2025-06-12 11:10:40,2,4,-76,19.76
2025-06-12 11:10:35,2,5,-68,9.44
2025-06-12 11:10:37,2,5,-62,8.77
2025-06-12 11:10:38,2,5,-61,7.86
2025-06-12 11:10:39,2,5,-63,7.66
2025-06-12 11:10:40,2,5,-62,7.34
2025-06-12 11:10:35,2,6,-68,13.27
2025-06-12 11:10:36,2,6,-71,13.75
2025-06-12 11:10:37,2,6,-72,14.34
2025-06-12 11:10:38,2,6,-72,14.89
2025-06-12 11:10:39,2,6,-68,14.65
2025-06-12 11:10:40,2,6,-67,14.20
2025-06-12 11:10:35,2,8,-80,30.53
2025-06-12 11:10:36,2,8,-78,31.34
2025-06-12 11:10:37,2,8,-78,32.13
2025-06-12 11:10:38,2,8,-78,32.88
2025-06-12 11:10:39,2,8,-79,33.82
2025-06-12 11:10:40,2,8,-80,34.94
Summary,2,1,-43,-44
Summary,2,2,-52,-55
Summary,2,3,-52,-53
Summary,2,4,-69,-73
Summary,2,5,-61,-63
Summary,2,6,-67,-69
Summary,2,8,-78,-78
