Time,Major,Minor,RSSI,Accuracy
2025-06-13 15:06:09,1,1,-63,3.80
2025-06-13 15:06:10,1,1,-62,4.23
2025-06-13 15:06:11,1,1,-65,4.84
2025-06-13 15:06:12,1,1,-65,5.37
2025-06-13 15:06:13,1,1,-65,5.82
2025-06-13 15:06:09,1,2,-47,0.92
2025-06-13 15:06:10,1,2,-47,0.91
2025-06-13 15:06:11,1,2,-47,0.90
2025-06-13 15:06:12,1,2,-47,0.89
2025-06-13 15:06:13,1,2,-47,0.89
2025-06-13 15:06:09,1,3,-57,3.22
2025-06-13 15:06:10,1,3,-56,3.12
2025-06-13 15:06:11,1,3,-56,3.04
2025-06-13 15:06:12,1,3,-56,2.98
2025-06-13 15:06:13,1,3,-55,2.85
2025-06-13 15:06:09,1,4,-51,1.80
2025-06-13 15:06:10,1,4,-52,1.77
2025-06-13 15:06:11,1,4,-53,1.80
2025-06-13 15:06:12,1,4,-54,1.88
2025-06-13 15:06:13,1,4,-53,1.89
Summary,1,1,-62,-64
Summary,1,2,-47,-47
Summary,1,3,-55,-56
Summary,1,4,-51,-52
