Time,Major,Minor,RSSI,Accuracy
2025-06-13 15:44:32,1,1,-53,1.66
2025-06-13 15:44:33,1,1,-53,1.72
2025-06-13 15:44:34,1,1,-53,1.77
2025-06-13 15:44:35,1,1,-53,1.80
2025-06-13 15:44:36,1,1,-53,1.82
2025-06-13 15:44:32,1,2,-50,1.63
2025-06-13 15:44:33,1,2,-50,1.53
2025-06-13 15:44:34,1,2,-49,1.39
2025-06-13 15:44:35,1,2,-49,1.31
2025-06-13 15:44:36,1,2,-49,1.25
2025-06-13 15:44:32,1,3,-63,7.84
2025-06-13 15:44:33,1,3,-64,7.82
2025-06-13 15:44:34,1,3,-60,7.15
2025-06-13 15:44:35,1,3,-60,6.64
2025-06-13 15:44:36,1,3,-60,6.26
2025-06-13 15:44:32,1,4,-54,2.44
2025-06-13 15:44:33,1,4,-54,2.37
2025-06-13 15:44:34,1,4,-55,2.38
2025-06-13 15:44:35,1,4,-55,2.40
2025-06-13 15:44:36,1,4,-54,2.34
Summary,1,1,-53,-53
Summary,1,2,-49,-49
Summary,1,3,-60,-61
Summary,1,4,-54,-54
